广西IPTV单播,#genre#
湖南卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225539/10000100000000060000000000081868_0.smil
东方卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225580/10000100000000060000000000081909_0.smil
北京卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225538/10000100000000060000000000081867_0.smil
浙江卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225547/10000100000000060000000000081876_0.smil
江苏卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225542/10000100000000060000000000081871_0.smil
广东卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225480/10000100000000060000000000081809_0.smil
深圳卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225541/10000100000000060000000000081870_0.smil
CHC家庭影院高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225934/10000100000000060000000001428835_0.smil
CHC动作电影高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225936/10000100000000060000000001428836_0.smil
CHC影迷电影,rtsp://10.255.136.86/PLTV/88888888/224/3221225938/10000100000000060000000001428837_0.smil
山东卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225482/10000100000000060000000000081811_0.smil
天津卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225481/10000100000000060000000000081810_0.smil
湖北卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225548/10000100000000060000000000081877_0.smil
山东卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225482/10000100000000060000000000081811_0.smil
黑龙江卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225540/10000100000000060000000000081869_0.smil
河北卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225827/10000100000000060000000000837404_0.smil
东南卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225841/10000100000000060000000000837411_0.smil
辽宁卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221226053/10000100000000060000000001597138_0.smil
